EmployeeID,FirstName,  LastName  ,BirthDate,Department,Salary
E001    ,Alice  ,   White    ,1990-06-12, Finance  , 55000
E002    , Bob  ,   Brown    ,1988-01-03, IT        , 90000
E003    ,Carol ,   Grey     ,1995-07-15, HR        , 47000
E004    ,David ,   Black    ,1992-09-23, Marketing , 75000
E005    ,Eve   ,   Green    ,1985-03-18, IT        ,125000
E006    , Frank ,   Turner   ,1980-11-21, Finance   , 85000
E007    , Grace ,   Harper   ,1993-02-15, HR        , 62000
E008    ,  Holly,   Norman   ,1999-04-09, Marketing , 43000
E009    ,  Ian ,   Ross     ,1996-05-27, Finance   ,110000
E010    ,John  ,   Bishop   ,1997-08-18, IT        , 70000
EmployeeID,FirstName,  LastName  ,BirthDate,Department,Salary
E011    ,    Ada  ,   L Lovelace,1803-05-23, IT        , 100000
E012    , Amy C  ,  Appleseed  ,1976-02-29, IT        ,-87500
E013    , Bao   ,   Nguyen    ,2005-12-31, Marketing ,200150
E014    , Carla,   342 Jimenez,1975-03-03, Finance   ,-39400
E015    ,007 Dena,Smith-Tracy ,1980-01-01, HR        ,10000A
E016    ,Ellie J.,McException ,2023-11-20, IT        , 75000
E017    ,(Inna),    Romanov,1988-02-01, Finance   ,102000
E018    ,Liska,     -diana,1991-12-20, HR        ,  49999
E019    ,"Mario  ", Antonio   ,1985-05-05, Marketing ,100000
E020    ,x012 Zoe ,Roberts Col,2999-19-18, IT        , 70000

E021    , Angela , Williams  ,2018-06-01, IT        , 30000
E022    , .Bell  ,   Smith    ,1969-11-30, Finance   ,180000
E023    ,Cory,  Thompson",1989-04-21, Marketing, 99999
E024    ,D\n Dora,Delgado "oo",2000-01-01, HR        ,-20000
E025    ,Zayd ;$,   Edris   ,1978-07-22, IT        ,150075
E026    , Tina  , McTwitter  ,1990-11-12, HR        ,  45000
E027    , Kelly ,   O'Conn.el ,2010-05-25,Finance   ,  48000
E028    , Marek ,   Swobodzki,1990-12-12, Marketing , 98000
E029    , Neil Q,   Quintz    ,1972-07-04, IT        , 75000
E030    , " "#    P. Franklin,1991-02-15,-Invalid-, 12345

E031    ,*Susan *,   _Doe     ,1981-08-30, IT        , 71000
E032    , Travis , Rumbold    ,1987-04-22, Finance   ,155000
E033    ,"""""Lvi,  ",  Marks",1994-08-12, Marketing,  51000
E034    ,Minerva,   Torres   ,2001-01-30, HR        ,  60000
E035    ,Nic_ *@*, Wilson     ,2002-10-15, IT        ,127000
E036    ,Olivia ,Ab01 Sil^a ,1979-11-16, Finance   ,  82000
E037    , Padma ,   Pat.il    ,1993-06-21, HR        , 61000
E038    , Ñelly , Garc.=ía    ,2004-04-30, Marketing , 43000
E039    , René A, RégisReed   ,1995-01-30, IT        , 88000
E040    ,Szilvia,Fr@ncis Hall,1997-03-15, Finance   , 97000

E041    ,Andrea S,  Val043_y  ,1994-10-06, HR        , 57000
E042    ,   D&Bry,    Jenkins ,1969-1.1-29, IT        ,120000
E043    ,Elena'00,L0k Scihmidt,1990-19-00/&, Marketing, 80000
E044    ,Gabriel$   Lakey ",1998-06-30, Finance   , 47000
E045    , Héctór ,   Espin"sa ,1985-03-15, HR        , 64000
E046    , Ian S  ,    Kimball ,1971-10-31, IT        , 70000
E047    , "J"ack ",Slater     ,1985-12-31, Marketing ,  5000
